1,MedicalService3,true,2.15,111639.82887801602,1.1689556705678115
1,DrugService,true,5.0,111640.99783368659,1.6062561650178395
1,AssistanceService,true,7.15

2,MedicalService3,true,2.15,111642.60408985161,1.1540762581425952
2,DrugService,true,5.0,111643.75816610975,1.2083806950395228
2,AssistanceService,true,7.15

3,MedicalService3,true,2.15,111644.96654680479,1.9605429314542562
3,AlarmService3,true,2.0,111646.92708973624,1.8387660290609347
3,AssistanceService,true,4.15

4,MedicalService3,true,2.15,111648.7658557653,1.7868040879257023
4,AlarmService3,true,2.0,111650.55265985323,1.313063782537938
4,AssistanceService,true,4.15

5,MedicalService3,true,2.15,111651.86572363577,1.6517931555572432
5,AlarmService3,true,2.0,111653.51751679133,1.4616261983901495
5,AssistanceService,true,4.15

6,AlarmService3,true,2.0,111654.97914298972,1.0245868799829623
6,AssistanceService,true,2.0

7,MedicalService3,true,2.15,111656.0037298697,1.831137645538547
7,DrugService,true,5.0,111657.83486751524,1.1936247698758962
7,AssistanceService,true,7.15

8,MedicalService3,true,2.15,111659.02849228511,1.4103164113912499
8,AlarmService3,true,2.0,111660.4388086965,1.6272866606741445
8,AssistanceService,true,4.15

9,AlarmService3,true,2.0,111662.06609535718,1.9185875570692588
9,AssistanceService,true,2.0

10,MedicalService3,true,2.15,111663.98468291425,1.9959639591834275
10,DrugService,true,5.0,111665.98064687343,1.0694643545430154
10,AssistanceService,true,7.15

11,MedicalService3,true,2.15,111667.05011122797,1.6365431266458472
11,DrugService,true,5.0,111668.68665435462,1.4560673452942865
11,AssistanceService,true,7.15

12,MedicalService3,true,2.15,111670.14272169991,1.3569227110710926
12,AlarmService3,true,2.0,111671.49964441099,1.7197935756703373
12,AssistanceService,true,4.15

13,MedicalService3,true,2.15,111673.21943798666,1.6799102394579677
13,DrugService,true,5.0,111674.89934822611,1.260290392965544
13,AssistanceService,true,7.15

14,AlarmService3,true,2.0,111676.15963861908,1.0073190707189497
14,AssistanceService,true,2.0

15,AlarmService3,true,2.0,111677.1669576898,1.3718753210268915
15,AssistanceService,true,2.0

16,AlarmService3,true,2.0,111678.53883301083,1.1066587217937922
16,AssistanceService,true,2.0

17,MedicalService3,true,2.15,111679.64549173262,1.68529130765819
17,AlarmService3,true,2.0,111681.33078304028,1.6604624578467337
17,AssistanceService,true,4.15

18,MedicalService3,true,2.15,111682.99124549812,1.6317338509106776
18,AlarmService3,true,2.0,111684.62297934903,1.013624728337163
18,AssistanceService,true,4.15

19,MedicalService3,true,2.15,111685.63660407737,1.1965965013514506
19,DrugService,true,5.0,111686.83320057872,1.3643539880868047
19,AssistanceService,true,7.15

20,MedicalService3,true,2.15,111688.19755456681,1.0021446294849738
20,AlarmService3,true,2.0,111689.1996991963,1.3923363377107307
20,AssistanceService,true,4.15

21,MedicalService3,true,2.15,111690.592035534,1.150756193062989
21,DrugService,true,5.0,111691.74279172707,1.1419279241672484
21,AssistanceService,true,7.15

22,MedicalService3,true,2.15,111692.88471965124,1.8135034681181423
22,DrugService,true,5.0,111694.69822311935,1.0827510300732683
22,AssistanceService,true,7.15

23,MedicalService3,true,2.15,111695.78097414943,1.1933542050828692
23,DrugService,true,5.0,111696.97432835451,1.874686925439164
23,AssistanceService,true,7.15

24,MedicalService3,true,2.15,111698.84901527995,1.7994338247226551
24,AlarmService3,true,2.0,111700.64844910467,1.9542891102610156
24,AssistanceService,true,4.15

25,MedicalService3,true,2.15,111702.60273821493,1.4005261661368422
25,DrugService,true,5.0,111704.00326438107,1.6360606524976902
25,AssistanceService,true,7.15

26,MedicalService3,true,2.15,111705.63932503357,1.1848386637720978
26,DrugService,true,5.0,111706.82416369734,1.7514493953349302
26,AssistanceService,true,7.15

27,MedicalService3,true,2.15,111708.57561309267,1.532180484442506
27,DrugService,true,5.0,111710.10779357712,1.7130434589198558
27,AssistanceService,true,7.15

28,AlarmService3,true,2.0,111711.82083703604,1.0378921037045075
28,AssistanceService,true,2.0

29,MedicalService3,true,2.15,111712.85872913974,1.3391450470953714
29,DrugService,true,5.0,111714.19787418684,1.5395310512831202
29,AssistanceService,true,7.15

30,MedicalService3,true,2.15,111715.73740523812,1.368143765052082
30,DrugService,true,5.0,111717.10554900317,1.5525054425525013
30,AssistanceService,true,7.15

31,MedicalService3,true,2.15,111718.65805444572,1.6619990464823786
31,AlarmService3,true,2.0,111720.3200534922,1.77521405465086
31,AssistanceService,true,4.15

32,AlarmService3,true,2.0,111722.09526754686,1.988403918701806
32,AssistanceService,true,2.0

33,MedicalService3,true,2.15,111724.08367146556,1.874090807250468
33,DrugService,true,5.0,111725.95776227281,1.5921905526774935
33,AssistanceService,true,7.15

34,MedicalService3,true,2.15,111727.54995282549,1.1911760264338227
34,DrugService,true,5.0,111728.74112885192,1.6442266025405843
34,AssistanceService,true,7.15

35,MedicalService3,true,2.15,111730.38535545446,1.0589852719713235
35,AlarmService3,true,2.0,111731.44434072643,1.9820446677622385
35,AssistanceService,true,4.15

36,MedicalService3,true,2.15,111733.4263853942,1.1776834989286726
36,DrugService,true,5.0,111734.60406889312,1.2379693323455285
36,AssistanceService,true,7.15

37,MedicalService3,true,2.15,111735.84203822547,1.7666867789957905
37,DrugService,true,5.0,111737.60872500447,1.6604095351649448
37,AssistanceService,true,7.15

38,MedicalService3,true,2.15,111739.26913453963,1.5962196557957213
38,DrugService,true,5.0,111740.86535419543,1.3607463416847168
38,AssistanceService,true,7.15

39,MedicalService3,true,2.15,111742.22610053711,1.3240927775914315
39,AlarmService3,true,2.0,111743.5501933147,1.8159669669839786
39,AssistanceService,true,4.15

40,AlarmService3,true,2.0,111745.36616028169,1.9896965372754494
40,AssistanceService,true,2.0

41,MedicalService3,true,2.15,111747.35585681896,1.695602711988613
41,DrugService,true,5.0,111749.05145953095,1.8722211009880994
41,AssistanceService,true,7.15

42,MedicalService3,true,2.15,111750.92368063194,1.1959738195582759
42,AlarmService3,true,2.0,111752.1196544515,1.9153260535676964
42,AssistanceService,true,4.15

43,MedicalService3,true,2.15,111754.03498050506,1.3062028417480178
43,AlarmService3,true,2.0,111755.34118334681,1.4084320020629093
43,AssistanceService,true,4.15

44,AlarmService3,true,2.0,111756.74961534888,1.815532535139937
44,AssistanceService,true,2.0

45,MedicalService3,true,2.15,111758.56514788402,1.8386567684647162
45,DrugService,true,5.0,111760.40380465248,1.4324015721067553
45,AssistanceService,true,7.15

46,AlarmService3,true,2.0,111761.83620622459,1.670959242459503
46,AssistanceService,true,2.0

47,MedicalService3,true,2.15,111763.50716546705,1.4203419507975923
47,DrugService,true,5.0,111764.92750741784,1.0516976740618702
47,AssistanceService,true,7.15

48,AlarmService3,true,2.0,111765.9792050919,1.477542944237939
48,AssistanceService,true,2.0

49,MedicalService3,true,2.15,111767.45674803614,1.9775970656482968
49,AlarmService3,true,2.0,111769.43434510179,1.7749799782177433
49,AssistanceService,true,4.15

50,MedicalService3,true,2.15,111771.20932508001,1.6337140773248393
50,DrugService,true,5.0,111772.84303915733,1.7170581054524519
50,AssistanceService,true,7.15

51,MedicalService3,true,2.15,111774.56009726279,1.326679034929839
51,DrugService,true,5.0,111775.88677629772,1.959121730964398
51,AssistanceService,true,7.15

52,AlarmService3,true,2.0,111777.84589802868,1.560194929727004
52,AssistanceService,true,2.0

53,AlarmService3,true,2.0,111779.40609295841,1.883910528413253
53,AssistanceService,true,2.0

54,MedicalService3,true,2.15,111781.29000348682,1.2960239182430087
54,DrugService,true,5.0,111782.58602740506,1.2456983747542836
54,AssistanceService,true,7.15

55,MedicalService3,true,2.15,111783.83172577982,1.6836549627187196
55,DrugService,true,5.0,111785.51538074254,1.1936631350545213
55,AssistanceService,true,7.15

56,MedicalService3,true,2.15,111786.70904387759,1.5343125618965132
56,DrugService,true,5.0,111788.24335643949,1.8078533582302043
56,AssistanceService,true,7.15

57,MedicalService3,true,2.15,111790.05120979772,1.459348842210602
57,DrugService,true,5.0,111791.51055863993,1.5604185093689011
57,AssistanceService,true,7.15

58,MedicalService3,true,2.15,111793.0709771493,1.9293990874139126
58,AlarmService3,true,2.0,111795.00037623671,1.45565411671123
58,AssistanceService,true,4.15

59,AlarmService3,true,2.0,111796.45603035342,1.9696391196921468
59,AssistanceService,true,2.0

60,MedicalService3,true,2.15,111798.42566947312,1.7246102023054846
60,AlarmService3,true,2.0,111800.15027967542,1.8593484581506345
60,AssistanceService,true,4.15

61,MedicalService3,true,2.15,111802.00962813357,1.8388693091692403
61,DrugService,true,5.0,111803.84849744274,1.0126730693737045
61,AssistanceService,true,7.15

62,MedicalService3,true,2.15,111804.86117051211,1.7645991035242332
62,DrugService,true,5.0,111806.62576961564,1.2845318965410115
62,AssistanceService,true,7.15

63,MedicalService3,true,2.15,111807.91030151218,1.0687227016169345
63,DrugService,true,5.0,111808.9790242138,1.7641884495969862
63,AssistanceService,true,7.15

64,MedicalService3,true,2.15,111810.7432126634,1.996256110665854
64,AlarmService3,true,2.0,111812.73946877406,1.8229004763998091
64,AssistanceService,true,4.15

65,MedicalService3,true,2.15,111814.56236925046,1.5093869004631415
65,DrugService,true,5.0,111816.07175615092,1.7956814463541377
65,AssistanceService,true,7.15

66,AlarmService3,true,2.0,111817.86743759728,1.5781884815951344
66,AssistanceService,true,2.0

67,MedicalService3,true,2.15,111819.44562607887,1.3655961992044467
67,DrugService,true,5.0,111820.81122227808,1.5690813322435133
67,AssistanceService,true,7.15

68,MedicalService3,true,2.15,111822.38030361032,1.0378347048244905
68,DrugService,true,5.0,111823.41813831514,1.2349937857798068
68,AssistanceService,true,7.15

69,MedicalService3,true,2.15,111824.65313210092,1.2363490916322917
69,DrugService,true,5.0,111825.88948119256,1.680990245382418
69,AssistanceService,true,7.15

70,MedicalService3,true,2.15,111827.57047143794,1.6150173016794724
70,AlarmService3,true,2.0,111829.18548873962,1.3869022304279497
70,AssistanceService,true,4.15

71,MedicalService3,true,2.15,111830.57239097005,1.3756480664887931
71,AlarmService3,true,2.0,111831.94803903654,1.3058190630399622
71,AssistanceService,true,4.15

72,MedicalService3,true,2.15,111833.25385809958,1.3448321281321114
72,AlarmService3,true,2.0,111834.5986902277,1.63139432996104
72,AssistanceService,true,4.15

73,MedicalService3,true,2.15,111836.23008455767,1.5394618444697699
73,AlarmService3,true,2.0,111837.76954640214,1.7106574146309868
73,AssistanceService,true,4.15

74,MedicalService3,true,2.15,111839.48020381677,1.0961010067985626
74,DrugService,true,5.0,111840.57630482357,1.9608577810722636
74,AssistanceService,true,7.15

75,MedicalService3,true,2.15,111842.53716260464,1.0423257043585181
75,AlarmService3,true,2.0,111843.579488309,1.4829203124245396
75,AssistanceService,true,4.15

76,MedicalService3,true,2.15,111845.06240862142,1.1293412560626166
76,AlarmService3,true,2.0,111846.19174987749,1.3200738714949694
76,AssistanceService,true,4.15

77,MedicalService3,true,2.15,111847.51182374898,1.1458990821847692
77,AlarmService3,true,2.0,111848.65772283117,1.223489404830616
77,AssistanceService,true,4.15

78,MedicalService3,true,2.15,111849.881212236,1.005701655143639
78,DrugService,true,5.0,111850.88691389114,1.1082999787613517
78,AssistanceService,true,7.15

79,MedicalService3,true,2.15,111851.9952138699,1.7966374045354314
79,DrugService,true,5.0,111853.79185127444,1.6297782343317522
79,AssistanceService,true,7.15

80,MedicalService3,true,2.15,111855.42162950877,1.6434901793545578
80,AlarmService3,true,2.0,111857.06511968812,1.0129419747536303
80,AssistanceService,true,4.15

81,MedicalService3,true,2.15,111858.07806166288,1.050011223371257
81,AlarmService3,true,2.0,111859.12807288625,1.2272970299527515
81,AssistanceService,true,4.15

82,MedicalService3,true,2.15,111860.3553699162,1.625839351225295
82,DrugService,true,5.0,111861.98120926743,1.1252861830726033
82,AssistanceService,true,7.15

83,MedicalService3,true,2.15,111863.1064954505,1.1837446181743871
83,AlarmService3,true,2.0,111864.29024006867,1.3373940289311577
83,AssistanceService,true,4.15

84,AlarmService3,true,2.0,111865.6276340976,1.9187195118574891
84,AssistanceService,true,2.0

85,MedicalService3,true,2.15,111867.54635360946,1.6334875468019163
85,AlarmService3,true,2.0,111869.17984115626,1.1988337058428442
85,AssistanceService,true,4.15

86,AlarmService3,true,2.0,111870.3786748621,1.4792017801228212
86,AssistanceService,true,2.0

87,MedicalService3,true,2.15,111871.85787664223,1.7454244157997891
87,AlarmService3,true,2.0,111873.60330105803,1.5139871259161737
87,AssistanceService,true,4.15

88,MedicalService3,true,2.15,111875.11728818394,1.1346455012098886
88,DrugService,true,5.0,111876.25193368515,1.295418693087413
88,AssistanceService,true,7.15

89,MedicalService3,true,2.15,111877.54735237824,1.481817234045593
89,DrugService,true,5.0,111879.02916961229,1.5497585819975939
89,AssistanceService,true,7.15

90,AlarmService3,true,2.0,111880.57892819429,1.3831859445926966
90,AssistanceService,true,2.0

91,MedicalService3,true,2.15,111881.96211413888,1.2644073367264355
91,DrugService,true,5.0,111883.2265214756,1.0860395777854137
91,AssistanceService,true,7.15

92,MedicalService3,true,2.15,111884.31256105339,1.6922596998047084
92,DrugService,true,5.0,111886.0048207532,1.9776657299225917
92,AssistanceService,true,7.15

93,MedicalService3,true,2.15,111887.98248648312,1.9151931194210192
93,AlarmService3,true,2.0,111889.89767960254,1.7570498490240425
93,AssistanceService,true,4.15

94,MedicalService3,true,2.15,111891.65472945156,1.2536920897982782
94,DrugService,true,5.0,111892.90842154136,1.6517805713956477
94,AssistanceService,true,7.15

95,MedicalService3,true,2.15,111894.56020211276,1.9972975723358104
95,DrugService,true,5.0,111896.55749968509,1.228271496205707
95,AssistanceService,true,7.15

96,MedicalService3,true,2.15,111897.7857711813,1.6671479412179906
96,DrugService,true,5.0,111899.45291912252,1.3186627780087292
96,AssistanceService,true,7.15

97,MedicalService3,true,2.15,111900.77158190052,1.0739432157861302
97,AlarmService3,true,2.0,111901.84552511631,1.345795815999736
97,AssistanceService,true,4.15

98,MedicalService3,true,2.15,111903.19132093231,1.5844502569671022
98,DrugService,true,5.0,111904.77577118928,1.5022491564013762
98,AssistanceService,true,7.15

99,MedicalService3,true,2.15,111906.27802034568,1.3050175528333057
99,DrugService,true,5.0,111907.58303789851,1.3549977946677245
99,AssistanceService,true,7.15

100,MedicalService3,true,2.15,111908.93803569318,1.8949685229599709
100,DrugService,true,5.0,111910.83300421614,1.168849715628312
100,AssistanceService,true,7.15

